"La Facult� des Sciences et Techniques de Tanger (FSTT), relevant de l�Universit� Abdelmalek Essa�di a �t� cr��e en 1995. Elle fait partie des �tablissements de l�enseignement sup�rieur � acc�s r�gul� et a pour missions la formation initiale dans les domaines scientifiques et techniques, la formation continue ainsi que la recherche et le d�veloppement dans les domaines des sciences et techniques",La Facult� des Sciences et Techniques de Tanger
"PRESENTATION DE LA FST DE TANGER : La Facult� des Sciences et Techniques de Tanger (FSTT), relevant de l�Universit� Abdelmalek Essa�di a �t� cr��e en 1995. Elle fait partie des �tablissements de l�enseignement sup�rieur � acc�s r�gul� et a pour missions la formation initiale dans les domaines scientifiques et techniques, la formation continue ainsi que la recherche et le d�veloppement dans les domaines des sciences et techniques",PRESENTATION DE LA FST DE TANGER
"La FST Tanger comporte de 9 les d�partements suivants : G�nie �lectrique, G�nie M�canique, G�nie Informatique, G�nie Chimique, Math�matiques , TEC, Physique, Sciences de la Vie, Sciences de la Terre.",les departements de FSTT
"La FST de Tanger a pour mission de dispenser l'enseignement supérieur en formation initiale et en formation continue et de mener tous les travaux de recherche dans les champs disciplinaires relevant notamment des Sciences et Techniques et des sciences de l'ingénieur.

Dans le cadre de  la r�forme pédagogique, la FST de Tanger a adopté l'architecture du système  LMD : Licence / Master / Doctorat. Elle prépare et délivre les diplômes:

La FST Tanger prépare et délivre les diplômes suivants :
- diplôme d’ingénieur d’État ;
- doctorat en Sciences et Techniques ;
- diplôme de Master en Sciences et Techniques (MST) ;
- licence en sciences et Techniques (LST) ;
- diplome d’Études Universitaire en Sciences et Techniques (DEUST).",les diplomes de FST Tanget
Le nom du Doyen de FSTT est  Pr.MUSTAPHA DIANI,le Doyen de FSTT
"La Facult� des sciences et techniques de Tanger (FSTT), a �t� cr��e en 1995. Faisant partie de l'Universit� Abdelmalek Essaadi � Tanger, elle regroupe actuellement une trentaine de programmes d'�tudes en sciences et ing�nierie.

Elle a pour mission de dispenser l'enseignement sup�rieur en formation initiale et en formation continue et de mener des travaux de recherche dans les champs disciplinaires relevant notamment des Sciences et Techniques et des Sciences de l'ing�nieur.

Elle comporte les d�partements suivants :

G�nie �lectrique ;
G�nie M�canique ;
G�nie Informatique ;
G�nie Chimique ;
Math�matiques ;
Physique ;
Sciences de la Vie ;
Sciences de la Terre ;
La FST Tanger pr�pare et d�livre les dipl�mes suivants :

dipl�me d�ing�nieur d��tat ;
doctorat en Sciences et Techniques ;
dipl�me de Master en Sciences et Techniques (MST) ;
licence en sciences et Techniques (LST) ;
dipl�me d��tudes Universitaire en Sciences et Techniques (DEUST).",La Facult� des sciences et techniques de Tanger (FSTT) les deplomes et les departements
FSTT signifier FST Tanger et Faculte des Sciences et Techniques de Tanger,FSTT = FST Tanger = Faculté des Sciences et Techniques de Tanger
"La Faculté des Sciences et Techniques de Tanger (FSTT), relevant de l’Université Abdelmalek Essaâdi a été créée en 1995. Elle fait partie des établissements de l’enseignement supérieur à accès régulé et a pour missions la formation initiale dans les domaines scientifiques et techniques, la formation continue ainsi que la recherche et le développement dans les domaines des sciences et techniques.
",PRÉSENTATION GÉNÉRALE en brief sur FST Tanger 
"Formation Initiale : La FST de Tanger offre des cursus de formation qui préparent aux diplômes suivants :

- DEUST : Diplôme d’Etudes Universitaire en Sciences et Techniques (Bac +2).
- LST : Diplôme de Licence en Sciences et Techniques (Bac +3)
- MST : Diplôme de Master en Sciences et Techniques (Bac +5)
- DI : Diplôme d’Ingénieur d’État (Bac +5)
- Doctorat en Sciences et Techniques (Bac +8)
La FST de Tanger propose une panoplie de formation riches et diversifiées répondant aux divers besoins du monde socio-économique (12 filières LST, 13 filières MST, 4 filières Ingénieurs)",Les Formations Initiale de FSTT
"Formation continue : 
Les programmes de la formation continue sont destinés aux professionnels qui souhaitent acquérir des nouvelles compétences ou approfondir leurs connaissances dans leur domaine d’activité.

Les formations proposées couvrent des programmes variés dans les domaines des sciences et de la technologie tels que :

Les sciences de l’ingénierie de l’Informatique- Civil –Mécanique-Electrotechnique – Industrielle et autres.",Les Formation Contunie de FSTT
"Recherche scientifique :

La recherche scientifique à la FST de Tanger est structurée autour de 7 laboratoires, 11 équipes de recherche, 2 centres (CDI : Centre de Développement et de l’Innovation et le CFA : Centre de Fabrication Additive) et un Observatoire Digital de l’Environnement. Les thématiques de recherches développées par ces structures concernent :

- L’agro-alimentaire, la biotechnologie, Biologie et santé
- L’Énergie et l’Efficacité Énergétique
- L’Eau et l’Environnement
- Les Matériaux et les Nanomatériaux
- Les Mathématiques et Informatique
- Autres
 ",Les Recherche scientifique dans FSTT
"
Les clubs des Etudiants :

Les clubs des étudiants peuvent apporter une valeur ajoutée significative à la vie universitaire. Tout d’abord, les clubs offrent une occasion aux étudiants de s’engager dans des activités qui les passionnent et de rencontrer des personnes partageant les mêmes intérêts.

De plus, les clubs peuvent aider à renforcer les compétences de leadership et à développer des compétences professionnelles, ce qui peut être bénéfique pour les futurs parcours professionnels des étudiants.",Les clubs des Etudiants – fstt
"les nom de tout les formation dans FSTT : MST : Analyse Appliquée et Ingénierie Statistique | MST : Bases Cellulaires et Moléculaires en Biotechnologie | MST : Environnement, Aquaculture et Développement Durable | MST : Géoressources Energétiques et Réservoirs | MST : Génie Civil | MST : Génie des Matériaux pour Plasturgie et Métallurgie | MST : Génie Energétique | MST : Ingénierie Environnementale, Changement Climatique et Développement Durable | MST : Intelligence Artificielle et Sciences de Données | MST : Mobiquité et Big Data | MST : Modélisation Mathématique et Science de Données | MST :  Sciences Agroalimentaires | MST : Sciences de l'Environnement | MST : Sciences du Littoral: Approche Pluridisciplinaire | MST : Sécurité IT et Big Data | MST : Systèmes Informatiques  et Mobiles | Analytique des données | Biotechnologies (Options : animale et végétale) | Design Industriel et Productique (DIP) | Énergies Renouvelables (EnR) | Génie civil | Génie des Procédés | Génie Électrique Option: Génie\nÉlectrique & Système Industriel | Génie Industriel | Génie Informatique | Géosciences Appliquées | Ingénierie de Développement d’Applications\nInformatiques | Ingénierie Statistique | Mathématiques et Applications | Mathématiques et Informatique Décisionnelles | Risques et Ressources Naturels | Statistique et Science des Données | Techniques d'Analyses Chimiques (TAC) | BIOLOGIE-CHIMIE-GEOLOGIE | GÉNIE ELECTRIQUE – GÉNIE MÉCANIQUE | MATHÉMATIQUES-INFORMATIQUE-PHYSIQUE | MATHÉMATIQUES-INFORMATIQUE-PHYSIQUE-CHIMIE",les nom de tout les formation dans FSTT
les nom de tout les departement dand FSTT : GÉNIE INFORMATIQUE | GÉNIE CHIMIQUE | SCIENCES DE LA TERRE | GÉNIE MÉCANIQUE | SCIENCES DE LA VIE | GÉNIE ELECTRIQUE | TEC | PHYSIQUE | MATHÉMATIQUES,les nom de tout les clubs dans FSTT
