No,club_name,departement_info,club_link
1,GREENOLOGY,"Le Club de l’environnement de la FST de Tanger, Dénommé Greenology Club, est nouvellement créé et il a comme vocation de : – Transmettre aux étudiants, une conscience nationale éclairée, un patriotisme activé pour un environnement préservé. – Sensibiliser et rendre les étudiants de la FST de Tanger des combattants contre l’éparpillement de l’environnement. – Tous unis, bien convaincus que nos richesses environnementales très précieuses sont menacées, et qu’avec une conscience large du désastre écologique qui frappe à la porte de notre pays, on pourra gagner la bataille et sauver ce qu’il reste encore à sauver.
la page facebook:
https://www.facebook.com/greenology.club
Email de contact :
Responsable d’activités 4saaddine@gmail.com",https://fstt.ac.ma/Portail2023/greenology/
2,CADAC,https://www.facebook.com/CADAC.FSTT,https://fstt.ac.ma/Portail2023/club-d-art-dramatique-et-d-animation-culturelle/
3,CLUB GÉNIE CIVIL,"Le Club Génie civil est un club scientifique de la faculté des sciences et techniques Tanger crée en 2014 par l’étudiant KALOUCH Hammam Qui vise a développer la culture scientifiques chez les étudiants de la FSTT ainsi que présenter la filière LST et MST Génie Civil de la FSTT et d’organiser plusieurs activité scientifiques dans le domaine de Génie civil, qui incluent des visites de chantiers, des conférences, des Ateliers et Un évènement annuel la journée Génie civil FSTT .    le Parrain du club Est Mr Mustapha El Metoui Professeur en Génie civil, du département des physiques
Président  du club : KALOUCH Hammam, étudiant en 3eme année LST Génie civil
coordonnes de contact :
+2126 75177338
club.genie.civilfstt@gmail.com
https://www.facebook.com/CGCFSTT",https://fstt.ac.ma/Portail2023/club-genie-civil/
4,CLUB LES SOPHISTES,https://www.facebook.com/SophistesFSTT,https://fstt.ac.ma/Portail2023/club-les-sophistes/
5,Design & Photography,"Le « Club Design & Photography », est une filiale de “l’Association Marocaine de Design & Photography ”, c’est tout simplement un espace de pure beauté et de créativité où tout le monde a le droit de laisser son esprit naviguer dans l’océan infini de la création et de la pure inspiration.
Comme l’indique son nom, c’est un club de design, de conception grâce à des programmes et logiciel comme « Photoshop, Photo filtre,… ». Le design c’est aussi l’art de dessin d’objet, étant un design d’intérieur, un stylisme ou un simple dessin à la main.
D’un autre coté c’est un club de photographie, de prise de vue selon plusieurs angles, et qui diffère selon l’expérience et la créativité de chaque photographe. Et ce qu’on veut dire par le mot Photographie, non pas des prises ordinaires et simples, mais des prises ayant un certain charme respectant plusieurs lois de base pour donner une belle allure au résultat voulu.
Objectifs
Ce club est créé bien sûre pour accomplir quelque buts et parmi elles :
   –  Donner naissance à la flamme de création et créativité chez les esprits scientifiques.
   –  Approfondir le contact entre les étudiants de la faculté et développer leur compétences communicatives et aussi artistiques.
Et cela grâce à des formations régulières théoriques et pratiques sur les bases de la photographie et des prises de vues, aussi le cas pour le design et la conception de plusieurs chefs d’œuvre, ainsi la création des tables rondes et des débats autour de sujets portant sur l’art et la créativité.
Ce club portera aussi l’aide aux autres clubs et évènements culturelles, par la création des affiches, des badges, … et assurément médiatique sur ces derniers.
Les activités récentes
Concours National Design & Photography
Projection du film « Sans Titre » d’Ussama Azzi
Festival National du Design & Photography
Président du club : Zakaria Hardouzi
Coordonnes de contact :
Téléphone : (+212) 6 42 93 05 62
E-mail : clubdp.fstt@gmail.com
Facebook : https://www.facebook.com/ClubDP.FSTT
Facebook : https://www.facebook.com/AMDP.Tanger",https://fstt.ac.ma/Portail2023/club-design-photography/
6,CLUB D'ASTRONOMIE,https://www.facebook.com/astrotanger,https://fstt.ac.ma/Portail2023/club-d-astronomie/
7,نادي القرآن الكريم,"هوية النادي ورسالته:
يشكل نادي اقرأ للقرآن الكريم فضاء علميا معرفيا تربويا للعمل الطلابي من داخل كلية العلوم والتقنيات بجامعة عبد المالك السعدي بمدينة طنجة، أُفرز ميلاده في أكتوبر 2010 وهو نادي شبابي طلابي مغربي مستقل عن أي انتماء حزبي أو سياسي و كذا بعيد ومستقل عن مختلف فصائل الحركة الإسلامية، ولا يُروج لأفكار جهة معينة أو جماعة محددة، بل يدعوا إلى الإسلام الوسط، « وكذلك جعلناكم أمة وسطا » البقرة الآية 143
تقوم رؤية النادي على السعي إلى المساهمة في التجديد الشامل للعمل الطلابي الإسلامي بالجامعة، والحث على قيم طلب العلم والاجتهاد في تحصيله، وتمتين ارتباطه برسالة الدعوة إلى الله تعالى بالحكمة والموعظة الحسنة، وتأكيد مرجعية الإسلام، ودعم جهود ترشيد الصحوة الطلابية الإسلامية، وتأكيد قيم الحوار والاختلاف والوسطية والمواطنة، ونبذ العنف والغلو والتطرف، ودعم جهود التنمية والنهضة بالمغرب.
أنشطة النادي:
ينتظم الاشتغال في النادي عبر الاعتماد على مجموعة من الأنشطة و نسوق لكم بعضاً منها:      
– تنظيم محاضرات و ندوات علمية وتربوية و كذا فكرية.
– تنظيم مسابقات ثقافية ثابتة و متنقلة.  
– تنظيم أمسيات قرآنية و مسابقات في حفظ و تجويد القرآن الكريم.     
– تنظيم زيارات خيرية لفائدة دور العجزة والمسنّين و كذا لفائدة دور الأيتام
رئيس النادي: بلال بنحدو
للتواصل:
www.facebook.com/club.coran.fstt",https://fstt.ac.ma/Portail2023/quran/
8,Club Echec & Mat,https://www.facebook.com/pages/Club-Echec-et-Mat-FSTT-Officiel/234932153232250,https://fstt.ac.ma/Portail2023/club-echec-mat/
9,Club Enactus,"L’équipe ENACTUS  de la  Faculté des Sciences et Techniques de Tanger, est crée en novembre 2011,et est constituée des doctorants, des élèves ingénieurs, des étudiants en master et des licenciés. Elle appartient à l’ONG mondiale  Enactus, une organisation à but non lucratif, implantée dans plus de 48 pays tel que le Maroc , ayant pour objectif de promouvoir le partenariat entre les entreprises, les universités , les grandes écoles et la société civile. La finalité du programme Enactus consiste à améliorer la qualité et le niveau de vie d’un grand nombre d’individus dans le monde entier à travers l’enseignement des principes de l’économie de marché, de l’entreprenariat, de la réussite financière et de l’éthique dans le domaine des affaires.
Notre engagement : «  Favoriser le progrès sociétal à travers l’action entrepreneuriale»
Objectifs :
  – Implémenter des projets dans le cadre de l’entrepreneuriat social afin d’améliorer la – vie des individus en situation difficile,
  – Former des leaders de demain,
  – Participer au développement de la région Tanger-Tétouan et du Maroc. 
Les activités récentes :
  – 23 juillet 2014 : Elaboration d’un partenariat avec l’APDN en faveur de notre projet ‘la perle de la mer ‘ qui a pour but d’améliorer la situation socio-économique des marins pêcheurs de la région de Oued Laou-Kaa Srass, 
  – 8 juillet 2014 : Présence à la compétition nationale Enactus Morocco  à  gain de 2 prix :  Enactus Spirit – Outstanding team member,
  – 28 juin 2014 : Participation à la compétition régionale Enactus Morocco,
  – 17 mai 2014 : Co-Organisation du  séminaire intitulé ‘seven hours of entrepreneurship’ ,
  – 12 février 2014 : Co-Organisation de la première édition du séminaire inter-équipes Enactus UAE.
Présidente  du club :   Oumaima DAKIR
Coordonnées de contact :
+212654453329
Enactus.fstt@gmail.com
Mlle.dakir@gmail.com
www.facebook.com/EnactusFSTT",https://fstt.ac.ma/Portail2023/club-enactus/
10,Club Géoinformation,"OBJECTIFS 



PROGRAMME



COMPETENCES VISEES ET DEBOUCHES



COORDINATEUR





Le principal objectif de cette filière est de former des ingénieurs ""géo-informaticiens cartographes gestionnaires de l’information spatiale"" polyvalents, qui s'intéressent prioritairement à l'organisation, au traitement, à la gestion et à la production des données géographiques et environnementales au moyen de la cartographie, de la télédétection, de l'analyse spatiale quantitative et des systèmes d'informations géographiques.
Ce programme permet à l'étudiant d’acquérir les connaissances et les compétences en géo-information et les technologies de l’information requises pour la mise en place d’infrastructures informatiques de pointe au service de la donnée géo-spatiale.
Pour atteindre cet objectif, le programme s’appui sur une démarche active de prise en main des méthodes et outils de la géo-information résolument tournée vers les applications. Ils combinent des cours théoriques et pratiques incluant aussi des travaux de terrain et des travaux personnels encadrés, des études de cas de montage et de conduite de projets, des applications opérationnelles et des stages en milieux professionnels.


Semestre 1• Algorithmique et programmation• Compléments de mathématique et Analyse numérique• Statistique/Analyse des données• Bases physiques de la télédétection/Traitement du signal• Communication professionnelle• Systèmes d’information et réseaux informatiqueSemestre 2• Cartographie numérique et DAO• Programmation et modélisation Objet• Information géographique et systèmes de projection• Géométrie analytique et algorithmique• Anglais 1• Optimisation et analyse de systèmes   Semestre 3• Géodésie/Localisation par satellite (GPS)• Topographie• Bases de données  spatiales et relationnelles • Communication professionnelle/Méthode de recherche• Méthode d’analyse spatiales• Systèmes d’information géographiqueSemestre 4• Télédétection Radar/Lidar• Télédétection et traitement d’images optique• Photogrammétrie• Programmation pour les SIG et pour la télédétection• Anglais 2• Wabemapping & Développement mobileSemestre 5• Systèmes de Management de la qualité/Gestion del’entreprise & des ressources• Géoinformation et gestion de l’environnement et du territoire• SIG et prise de décision• Gestion et management de projet en Géoinformation• Gestion des réseaux et développement socioéconomique• Administration des données spatialesSemestre 6• Projet de fin d’étude 

La filière forme pour des profils de :Chef de projet informatiqueAdministrateur de donnéesDirecteur de service cartographiqueExpert en acquisition et traitement de données spatialesIngénieur adjoint en Gestion des réseaux (transport, distribution..)Expert en aménagement et développement durableChef de mission géodésique et topographique…etc 

Coordinnateur pédagogique : Pr.Jamal Eddine EL ABDELLAOUI           :  j.elabdellaoui@uae.ac.ma",https://fstt.ac.ma/Portail2023/di-geoinformation/
