No,mst_name,formation_type,mst_link,mst_objectif,mst_program,mst_skills,mst_Coord
1,MST : Analyse Appliquée et Ingénierie Statistique,mst,https://fstt.ac.ma/Portail2023/mst-analyse-appliquee-etingenierie-statistique/,"Le Master Analyse Appliquée et Ingénierie Statistique (MAAIS) de l'Université Abdelmalek Essaadi a pour vocation d'offrir des parcours qui trouvent leurs bases dans une approche pluridisciplinaire. Au département de mathématiques on propose aux étudiants d’acquérir une double compétence en mathématiques et en statistiques appliquées s’appuyant sur un tronc commun développant des concepts et des outils de base. Pour une approche pluridisciplinaire des problèmes liés aux applications, les mathématiques et les statistiques appliquées ne peuvent que former des étudiants pour la recherche et les activités professionnelles de haut niveau avec un bon bagage mathématique. La spécialisation se ferait au terme du second semestre (S2) selon le choix des étudiants. En plus une bonne formation en tronc commun solide permettra de mieux optimiser les ressources humaines surtout au niveau des encadrants des PFEs (Master) et/ou des Doctorants.","{'Semestre 1': ['', ' Statistique mathématique (inférence 1)', ' Programmation avancée', ' Compléments d’analyses', ' Compléments d’algèbres', ' Analyse Numérique Matricielle et Calcul Parallèle', ' Équation différentielle stochastique (EDS)'], 'Semestre 2': ['', ' Théorie des EDP', ' Statistiques décisionnelles et simulation', ' Analyse fonctionnelle appliquée I', ' Les éléments finis et calculs scientifiques', ' Optimisation et contrôle optimale', ' Anglais Scientifique I (Soft Skills)'], 'Semestre 3 - SA': ['', ' Analyses de données & BIG DATA', ' ANOVA & Modèles MIXTES', ' Techniques de Sondages', ' Statistique des valeurs extrêmes', ' Séries chronologiques', ' Anglais Scientifiques II (Soft Skills)'], 'Semestre 3 - SM': ['', ' Homogénéisation et Analyses asymptotiques', ' Modélisation 1 et Système dynamiques', ' Réseaux de Neurones et Apprentissage Automatique & Programmation avancée 2', ' Espaces Lebesgue et Sobolev & Méthode variationelle', ' Analyses numériques des systèmes hyperboliques & Méthodes des volumes finis', ' Analyse numérique']}","Donner une formation mathématique et statistique de haut niveau et vise à développer les compétences en communication et l'autonomie des étudiants. | Connaissance de méthodes mathématiques et statistiques pour la résolution de problèmes issus d'autres disciplines (physique, chimie, biologie, informatique, économie, etc.). | Compréhension et analyse de documents scientifiques et de grandes bases de données. | Conduite d'un projet d'une durée d’un semestre. | Rédaction de rapports et présentation d'exposés de nature mathématique. | Préparation à l'agrégation de mathématiques et concours des professeurs de second cycle. | Ingénieur en simulation numérique",Coordinnateur pédagogique  : Pr.EL HALIMI Rachid          :  r.elhalimi@uae.ac.ma
2,MST : Bases Cellulaires et Moléculaires en Biotechnologie,mst,https://fstt.ac.ma/Portail2023/mst-bases-cellulaires-etmoleculaires-en-biotechnologie/,"Le master BCMB vise la formation des spécialistes dans le domaine des Biotechnologies capables de répondre aux exigences de la recherche fondamentale et appliquée, et de s’adapter au marché de l’emploi dans les secteurs socio-économique et industriel. Le lauréat sera doté d’une nouvelle conception à la biologie alliant théorie à la pratique. A l’issu de cette formation, le lauréat sera capable d’élaborer des protocoles, de maîtriser la manipulation, de pouvoir analyser et exploiter les résultats expérimentaux obtenus. Il sera aussi capable d’innover en apportant des solutions dans le domaine des Biotechnologies, d’animer une équipe et de gérer des projets, de rédiger mémoires et articles scientifiques, rapports et présenter des exposés.
L’objectif final est de former des chercheurs et des cadres de haut niveau, spécialistes en biotechnologies appliquées notamment dans les domaines de la sélection et l’amélioration génétique des plantes.","{'Semestre 1': ['', ' Techniques Expérimentales en Biotechnologie', ' Biologie Moléculaire', ' Technologie d’ADN recombinant', ' Communication cellulaire et voies de signalisation', ' BioInformatique', ' Du protocole expérimental à la rédaction scientifique'], 'Semestre 2': ['', ' Microbiologie Appliquée', ' Génomique', ' Concepts de Base en Génétique Quantitative', ' Protéomique', ' Technologie de transformation et de valorisation des bio-ressources', ' Système de Management intégré QSE'], 'Semestre 3 - BVA': ['', ' Fonctionnement des cellules végétales ', ' Interaction plante/Microorganismes,application en agroécologie', ' Technologies des PAM et des microalgues', ' Marqueurs moléculaires et cartographie génétique', ' Épidémiologie et contrôle des maladies dans les plantes de grande culture', ' Biotechnologie des Biomolécules'], 'Semestre 3 - BV': ['', ' Techniques d’amélioration et de sélection chez les plante', ' Pathologie microbienne des plantes', ' Biochimie Intégrative du Végétal', ' Interaction plantes-microorganismes', ' Lutte Biologique et Protection Intégrée des Plantes', ' Kit Pour l’Emploi/ Projet professionnel'], 'Semestre 3 - BA': ['', ' Neurobiologie Cellulaire', ' Biologie de développement', ' Pathologies et génétique moléculaire', ' Techniques d’amélioration et de sélection chez les animaux', ' Thérapie Cellulaire et Génique', ' Kit Pour l’Emploi/ Projet professionnel'], 'Semestre 4': ['', ' Projet de fin d’étude']}","Secteur public : chercheur, responsable, ingénieur dans des organismes dépendant de plusieurs ministères en particulier, du ministère de l’environnement, de l’agriculture et pêches maritimes, santé publique, éducation nationale et recherche scientifique ainsi que le ministère de l’intérieur. | Industries : Ingénieur et chef d’équipe en industrie agroalimentaire, pharmaceutique, médicale et toute industrie ayant un pôle Biotechnologie. | Service : poste de responsabilité dans les laboratoires publics ou privés d’analyse et de contrôle, organismes d’expertise, service vétérinaire et agricole, service de douanes, services spécialisés dans la gestion et le traitement des eaux, des déchets, bureaux d'études, hygiène et sécurité alimentaire, etc",Coordinnateur pédagogique : Pr.Mohamed NHIRI             :  mnhiri@uae.ac.ma
3,"MST : Environnement, Aquaculture et Développement Durable",mst,https://fstt.ac.ma/Portail2023/mst-environnement-aquacultureet-developpement-durable/,"Encore peu développée au Maroc, l’aquaculture offre des perspectives de développement très intéressantes. Le Maroc s’est donné tous les moyens pour insuffler une nouvelle dynamique dans le secteur halieutique, à travers le lancement du plan décennal 2015-2024 pour le développement de l’aquaculture continentale et le plan Halieutis qui vise une expansion importante de l’aquaculture marine. Les prévisions tablent sur une expansion importante de l’aquaculture, des industries et des services associés. C’est pour cette raison, et en vue de répondre aux besoins immédiats en métiers relatifs à la gestion et l’exploitation de l’environnement incluant les ressources aquacoles continentales et marines que se place le projet master interuniversitaire « Environnement, aquaculture et développement durable ( البيئة وتربية الأحياء المائية والتنمية المستدامة ). 


Ce master consiste en une formation pratique et interdisciplinaire. Elle pourvoit à une intégration aisée dans la vie active professionnelle. Il s'agit de former des cadres spécialisés dans le domaine de l’environnement, de l’aquaculture et du développement durable disposant d’une grande base de connaissances scientifiques pluridisciplinaires, leur permettant d’appréhender pertinemment la complexité et la dynamique environnementale des systèmes aquatiques et la problématique de leur gestion intégrée.","{'Semestre 1': ['', ' Écosystèmes aquatiques et pollution : salubrité et biosurveillance gouvernance', ' typologie des écosystèmes aquatiques', ' Ressources halieutiques (biologie, évaluation et gestion) ', ' Téledetection et traitement d’images optiques', ' Analyse bio statistique/Méthodologie de la rédaction', ' Anglais/développement personnel'], 'Semestre 2': ['', ' Océanologie', ' Ingénierie aquacol/ gestion des entreprises aquacoles', ' SIG Appliqués', ' Pathologie des organismes aquatiques/Amélioration génétique des espèces d’élevage', ' Base biologique de l’aquaculture/Alimentation et nutrition en aquaculture personnel', "" Economie de l'environnement, des ressources naturelles renouvelables et d’aquaculture""], 'Semestre 3': ['', ' Gestion intégrée des zones côtières et développement durable', ' Commercialisation, marketing et qualité des produits de la mer qualité/valorisation Gestion de Projet', ' Interaction environnement /aquaculture et aquaculture intégrée', ' Traitements physico-chimique des eaux / Bioremédiation', ' Gestion de projet', ' Management environnemental et droit de l’environnement'], 'Semestre 4': ['', ' Projet de fin d’étude']}",,Coordinnateur pédagogique : Pr.Hassan Er-RAIOUI             :  h.erraioui@fstt.ac.ma
4,MST : Géoressources Energétiques et Réservoirs,mst,https://fstt.ac.ma/Portail2023/mst-georessources-energetiques-et-reservoirs/,"L’activité accrue dans la recherche en géosciences appliquées aux prospections géoressources énergétiques et réservoirs s’intègre dans le cadre de la stratégie gouvernementale Marocaine « Stratégie Energétique Horizon 2030 » en tant qu’activité à fort impact économique pour le pays. C’est dans ce Contexte que l’Etat marocain s’est mis sur deux composantes en parallèle pour répondre à ses besoins en matière de l’énergie : Les Energies renouvelables (Solaire et Eolienne) et les Géoressources énergétiques (Gaz/Pétrole). Cette Dynamique a été accéléré par la mise en place des mesures fiscales en vue d’inciter l’exploration. Un dispositif qui a permis l’installation depuis 2012 de plus de 37 compagnies pétrolières étrangères, dont Repsol, Anadarko Petroleum, Kosmos Energy, Sound Energy, Chevron, deuxième compagnie pétrolière aux Etats-Unis, le géant pétrolier britannique British Petroleum (BP) et plusieurs autres en vue de mener des travaux d’exploration géologiques et géophysique pour la recherche d’hydrocarbures sur l’offshore Atlantique et sur l’Onshore Marocain sur plus de 770 000 Km². L’évaluation géologique, géophysique et pétrolière des différents permis et zones de reconnaissance a permis l’évidence de plusieurs « prospects » et « play concepts » notamment au niveau des permis Tendrara et dans le bassin du Gharb.
Pour un accompagnement universitaire de la vision de la Stratégie Energétique Horizon 2030, ce Master « Géoressources énergétiques et Réservoirs » sera le PREMIER MASTER À L’ÉCHELLE NATIONALE s’intéressant aux Géoressources énergétiques et réservoirs et se présentera en tant qu’une nécessité objective afin d’assurer :

Une formation scientifique de haut niveau avec un background scientifique solide en géosciences fondamentales et appliquées couplées aux disciplines liées à l’exploration des réservoirs et géoressources énergétiques associées,
Une formation scientifique adaptée aux besoins et à l’évolution du marché du travail national et international notamment en matière des cadres supérieurs qualifiés,
Une formation scientifique visant la mise en place des cadres hautement qualifiés sur le marché de l’emploi national et international,
Une formation scientifique comblant le vide des cadres compétents en géosciences fondamentales et appliquées dont plusieurs établissements privés, semi-publiques et publiques ont en besoin.

Les principaux objectifs du Master GEORESERVES s’inscrivent dans le cadre national « Stratégie Energétique Horizon 2030 » et se focalisent essentiellement :

Mettre en relief une formation académique universitaire de haute qualité en tant que passerelle entre l’Université et les opérateurs socio-économiques dans le Domaine des géoressources énergétiques (Gaz, pétrole et géothermie),
Drainer des experts internationaux pour la collaboration et le renforcement du cursus universitaire du Master Pour assurer un transfert du « How-Know » en guise de formation/qualification des cadres pluridisciplinaires,
Former et contribuer à la formation et la qualification de jeunes chercheurs des cadres à haut niveau capables d’intégrer les compagnies nationales et internationales opérant en géoressources énergétiques,
Renforcer la dynamique d’ouverture des jeunes diplômés sur le marché national et international et surtout africain dans le cadre des partenariats Sud-Sud et Sud-Nord avec les compagnies et Etablissements nationaux et internationaux afin de stimuler la promotion des richesses en géoressources énergétiques du pays.

Créer un label de renommé international pour la formation académique « Master GEORESERVES » en en faisant un pôle d’excellence d’innovation dans le domaine des géoressources énergétiques ; et ce en développant l’engagement et la responsabilisation du management pour instaurer une culture de la performance, de l’intégrité.","{'Semestre 1': ['', ' Géodynamique et Analyse des Bassins Sédimentaires ', ' Géologie structurale et Tectonophysique ', ' Micropaléontologie intégrée ', ' Géologie du Maroc et systèmes pétroliers associées ', ' Mécanique des fluides et Hydraulique ', ' Géomatique Appliquée aux Géoressources énergétiques'], 'Semestre 2': ['', ' Pétrologie Sédimentaire ', ' Sédimentologie et paléoenvironnements sédimentaires ', ' Modélisation et Simulation Numérique en Géosciences', ' Télédétection Optique et Radar Appliquées aux Géoressources énergétiques', ' Géostatistiques et analyse des données', ' Anglais scientifique et Développement personnel'], 'Semestre 3': ['', ' Introduction aux géosciences du pétrole', ' Caractéristiques géologiques et pétrophysiques des réservoirs', ' Hydrocarbures et maturité de la Matière Organique', ' Interprétation 2D-3D des profils séismiques', ' Prospection géophysique et techniques de forage', ' Management et Gestion de projets'], 'Semestre 4': ['', ' Stage d’initiation a la recherche']}",,Coordinnateur pédagogique : Pr.Mohamed Najib ZAGHLOUL             :  mzaghloul@uae.ac.ma
5,MST : Génie Civil,mst,https://fstt.ac.ma/Portail2023/mst-genie-civil/,"Le programme vise la formation des cadres en Génie Civil. A l’issue des deux années de formation, le lauréat en Master de Génie Civil doit être capable d’intervenir dans la conception, le suivi et la réalisation de projets dans les secteurs du Bâtiments et des Travaux Publics.
 La formation vise, également, à développer chez l’étudiant l’esprit d’initiative, de responsabilité et de gestion. Outre les compétences scientifique et technique, le programme dispense un ensemble d’activités facilitant l’insertion professionnelle de l’étudiant : les techniques d’expression, les langues, conférences sur des réalisations de chantier, les visites d’entreprises et de chantiers…etc.","{'Semestre 1': ['', ' Mathématiques Pour l’Ingénieur', ' Calculs et Analyses des Structures', ' Géotechnique', ' Géophysique Appliquée & Géo-risques', ' Méthodes Numériques', ' Matériaux de construction'], 'Semestre 2': ['', ' Béton précontraint', ' Dynamique et calcul parasismique', ' Transferts thermiques et Acoustique', ' Béton armé', ' Procédés Généraux de Constructions', ' Routes'], 'Semestre 3': ['', ' Ouvrages de Génie Civil', ' Assainissement', ' Construction Métallique', ' Urbanisme, Architecture et Construction', ' Efficacité Énergétique', ' Management de projet & BIM appliquée'], 'Semestre 4': ['', "" Projet de fin d'étude""]}",,Coordinnateur pédagogique : Pr.Dkiouak Rachid            :  r.dkiouak@uae.ac.ma
6,MST : Génie des Matériaux pour Plasturgie et Métallurgie,mst,https://fstt.ac.ma/Portail2023/mst-genie-des-materiaux-pour-plasturgie-et-metallurgie/,"Le Master Génie des Matériaux pour Plasturgie et Métallurgie (GMPM) se positionne dans le contexte de synergie ; Formation / Recherche / Industrie, avec des enseignements en relation avec les activités des industries de la région. Le programme vise à fournir des bases de chimie, génie des matériaux, mécanique avec un lien entre les procédés d’élaboration, de synthèse et de mise en forme de la matière première ainsi que l’étude des propriétés structurales et/ou fonctionnelles des matériaux tels que les polymères, les composites, les alliages métalliques, les céramiques et les biomatériaux.","{'Semestre 1': ['', ' Cristallographie et phénomènes', ' Métallurgie et matériaux métalliques', ' Formulation, rhéologie et modélisation', ' Verres, céramiques et matériaux', ' Polymères synthétiques', ' Anglais scientifique et communication'], 'Semestre 2': ['', ' Propriétés physiques et mécaniques', ' Métallurgie des poudres et fiabilité', ' Conception, modélisation et fabrication', ' Fonctionnalisation revêtements', ' Matériaux catalytiques', ' Gestion de projet, propriété'], 'Semestre 3': ['', ' Corrosion et Protection des matériaux', ' Techniques de caractérisation et d’analyses', ' Nanomatériaux et matériaux stratégiques', ' Mécanique de contact, tribologie', ' Choix des matériaux et procédés', ' Lean Management et analyse'], 'Semestre 4': ['', ' Projet de fin d’étude']}","Élaboration, caractérisation et contrôle des matériaux | Exigences liées au choix des matériaux | Maîtrise des mécanismes de dégradation des matériaux et du comportement matériau/milieu | Les techniques de diagnostic des matériaux dans les domaines de métallurgie et plasturgie | Analyse de défaillance et évaluation des coûts | Savoir-faire en matière d’élaboration de matériaux et de préparation d’échantillons",Coordinnateur pédagogique : Pr.Tarik CHAFIK            :  tchafik@uae.ac.ma
7,MST : Génie Energétique,mst,https://fstt.ac.ma/Portail2023/mst-genie-energetique/,Former des lauréats pour accompagner la stratégie énergétique nationale et mettre sur le marché du travail des jeunes « énergéticiens » capables de contribuer à la réalisation des différents projets dans le domaine d’énergétique.,"{'Semestre 1': ['', ' Thermodynamique Industrielle', ' Transferts Thermiques', ' Mathématiques de l’Ingénieur', ' Mécanique des Fluides', ' Méthodes Numériques', ' Matériaux pour l’Énergie'], 'Semestre 2': ['', ' Métrologie Thermique & Échangeurs Thermiques', ' Production & Stockage de l’Énergie', ' Automatique & Régulation', ' Ingénierie des Procédés', ' Énergie Éolienne', ' Langues et Techniques de Communication (TEC)'], 'Semestre 3': ['', ' Énergétique du bâtiment', ' Énergie Solaire', ' Efficacité Énergétique', ' Bioénergie', ' Gestion de la maintenance et Sureté de fonctionnement', ' Gestion de Projets & Gestion d’Entreprises'], 'Semestre 4': ['', ' Projet de Fin d’Etudes']}","Intégrer les organismes étatiques et privés en tant que cadres supérieurs, chefs de projets ; | Intégrer des bureaux d’études et éventuellement, créer leur propre bureau d’études ou leur propre entreprise ; | Créer leur propre entreprise (installation des systèmes énergétiques, audit et diagnostic énergétique, réhabilitation énergétique des bâtiments) ;",Coordinnateur pédagogique : Pr.Abdessalam DRAOUI            :  adraoui@uae.ac.ma
8,"MST : Ingénierie Environnementale, Changement Climatique et Développement Durable",mst,https://fstt.ac.ma/Portail2023/mst-ingenierie-environnementale-changement-climatique-et-developpement-durable/,"Ce Master « IE2C2D » a été préparé dans le cadre d’une convention de partenariat entre l’Université Abdelmalek Essaâdi (UAE) et le Centre de Compétences Changements Climatiques du Maroc (4C Maroc) avec le soutien du Programme des Nations Unies pour le Développement (PNUD).
Ce master a pour but de répondre à la demande extrêmement forte de former des experts professionnels multidisciplinaires en changement climatique capables d’élaborer des projets et de concevoir des stratégies pour le développement.

Cette formation fournit des bases fondamentales et appliquées indispensable pour traiter des problèmes environnementaux, et des problèmes de changement climatique, et aussi initier des stratégies de développement durable.

Les modules de cette filière sont relatifs aux études de l’Ingénierie Environnementale, Changement climatique et Développement Durable. Elle offre une formation de professionnalisation et de recherche-développement.

Ces experts seront amenés à travailler dans les métiers verts de différents secteurs publics ou privés touchant aux domaines d’adaptation au changement climatique, Atténuation au changement climatique, de l'ingénierie environnementale ou du développement économique et de l'expertise. Ils pourront intervenir sur des problématiques aussi variées que les risques naturels, les pollutions chimiques ou physiques et leurs impacts sur les écosystèmes, mais aussi sur des aspects liés au développement durable, à la gestion de l’environnement.","{'Semestre 1': ['', ' Gestions des Ressources Hydriques et Changement Climatique', ' Développement Durable et Changement Climatique', ' Gestion des Déchets et Economie Circulaire', ' Analyse de Cycle de Vie et Empreinte Carbone', ' Formation et Traitement des Polluants Atmosphérique', ' Méthodes de Collecte et Analyse de Données'], 'Semestre 2': ['', "" Techniques d'Expressions et Anglais Scientifique"", ' Énergies Renouvelables et Efficacité Énergétique', "" Télédétection et Système d'Information Géographique"", "" Statistiques/ Plans d'Expérience et Modélisation de Process"", "" Management Environnemental dans l'Entreprise"", ' Écotoxicologie du Sol'], 'Semestre 3': ['', ' Méthodologie de la Recherche Scientifique/Conférences', ' Anglais Scientifique II', ' Accords,Négociations, Instruments de Changement Climatique', ' Vulnérabilité et Adaptation\xa0 au Changement Climatique', ' Inventaire de Gaz à Effet de Serre et Atténuation au Changement Climatique', ' Science et Politique de Changement Climatique'], 'Semestre 4': ['', ' Projet de fin d’étude']}","Cadre dans le secteur privé ou public capable de faire la Diagnostic, planification et élaboration de stratégies pour le développement des régions vulnérables (Adaptation au changement climatique/ Atténuation du Changement Climatique). Concepteur de plans et dimensionnement d'installations énergétiquement efficientes, gestion et maintenance. | Cadre aux métiers verts qui sont de plus en plus sollicités par les acteurs économiques pour relever leurs défis d’intégrer les marchés internationaux, notamment de l’union européenne qui exigent des niveaux de conformité avec des normes élevés d’atténuation des émissions des Gaz à effet de serre. | Responsable de bureau de changement climatique | Chargés de mener des évaluations de risques environnementaux ; impliqués dans les procédés industriels et leurs conséquences sanitaires; concernés par la gestion de risques sanitaires liés à l'environnement. | Possédant les compétences scientifiques nécessaires à l'analyse, la prévention et le traitement des pollutions et des nuisances d'origines chimiques et capables d'effectuer des études sur les impacts environnementaux d'une activité ou d'un | aménagement, de prendre en compte les contraintes imposées par l'environnement sur les activités humaines (évaluation des risques - inondations, mouvements de terrain) et de proposer des stratégies environnementales en conformité avec les réglementations en cours. | Chercheurs dans des domaines associant la chimie ; « R&D » dans des entreprises développant un pôle environnement ou dépollution (automobiles, traitement des déchets, de l'air, industrie nucléaire); cadres dans les agences spécialisées en | environnement et les réseaux de mesure et de surveillance de la pollution atmosphérique. | Négociateurs de contrats (acquisitions ou échanges de technologies), responsables dans le domaine de la propriété intellectuelle, responsables technico-commerciaux, conseil en matière d'élaboration de programmes de développement durable.",Coordinnateur pédagogique : Pr.HOUDA EL AYADI          :  h.elayadi@uae.ac.ma
9,MST : Intelligence Artificielle et Sciences de Données,mst,https://fstt.ac.ma/Portail2023/mst-intelligence-artificielle-et-sciences-de-donnees/,"Cette formation d'excellence offre de solides connaissances en conception de systèmes d'intelligence artificielle et mathématiques appliquées afin de couvrir l'ensemble des problématiques de traitement et d'analyse des données massives que rencontre les entreprises. Elle met l'accent sur l'articulation entre apprentissage automatique, gestion et fouille de grandes masses de données, paradigmes du Big Data, représentation des connaissances, le traitement des données et sur les méthodologies récemment développées.","{'Semestre 1': ['', ' THÉORIES ET SYSTÈMES DE RAISONNEMENTS INTELLIGENTS', ' MATHÉMATIQUES POUR ANALYSE DE DONNÉES', ' PROGRAMMATION AVANCÉE', ' BASES DE DONNÉES AVANCÉES', ' MACHINE LEARNING 1', ' ANGLAIS ET TECHNIQUE D’EXPRESSION'], 'Semestre 2': ['', ' INFRASTRUCTURE ET ARCHITECTURE DES SYSTÈMES DISTRIBUES & BIG DATA', ' PLATEFORMES IOT CORE: TECHNOLOGIES, DATA ET IA', ' METAHEURISTIQUES & ALGORITHMES DE RECHERCHE STOCHASTIQUE', ' SMA & NLP', ' DATAMING & BI', ' DEVELOPPEMENT PERSONNEL ET INTELLIGENCE EMOTIONNELL'], 'Semestre 3': ['', ' MULTIMEDIA MINING AND INDEXING', ' MACHINE LEARNING 2 : DEEP and TRANSFERT LEARNING', ' DATA SPACES & DATA\xa0 INTEGRATION & SEMANTIC INTEROPERABILITY ', ' BLOCKCHAIN & SECURITE APPLICATIVE', ' VIRTUALIZATION, CLOUD AND EDGE COMPUTING', ' DIGITAL BUSINESS STRATEGIES\xa0 LEADERSHIP IN THE AGE OF AI'], 'Semestre 4': ['', ' Projet de fin d’étude']}",,Coordinnateur pédagogique  : Pr.EZZIYYANI MOSTAFA          :  mezziyyani@uae.ac.ma
10,MST : Mobiquité et Big Data,mst,https://fstt.ac.ma/Portail2023/mst-mobiquite-et-big-data/,"Récemment, le ""Big Data"" et la mobiquité sont devenus un véritable enjeu stratégique et économique. Le traitement et l’exploitation massive des Méga données est désormais une priorité stratégique pour s’engager dans l’évolution. En effet, ses applications se font sentir dans des domaines aussi variés que les sciences, le marketing, le développement durable, les transports, la santé et l’éducation, et représente un potentiel énorme de création d’emplois.
Le Master a pour but, de former des étudiants capables de répondre aux besoins de collecte, stockage, traitement et analyse des données massives, afin d’accompagner les organisations dans des processus de développement stratégique.","{'Semestre 1': ['', ' Programmation Orientée Objet Avancée : Java Et Python', ' Systèmes Embarqués Et Mobilité', ' Recherche Opérationnelle Et Théorie des Graphes', ' IP Mobile Et Protocoles', ' Administration Des Bases De Données', ' Anglais'], 'Semestre 2': ['', ' Data Mining Et Machine Learning', ' Statistique Descriptive Et Inférentielle', ' Bases Des Données Nosql', ' Architecture Et Technologies Big Data', ' Cloud Computing Et Virtualization', ' Soft Skills'], 'Semestre 3': ['', ' Analysis, Mining And Indexing In Big Multimedia Systems', ' Développement Mobile', ' Big Data Analytics', ' Objets Connectés Et Intelligence Artificielle Distribuée & SMA', ' Big Data Et Sécurité', "" Management De Projet Et Gestion De L'innovation""], 'Semestre 4': ['', ' Projet de fin d’étude']}",Big Data Architecte | Big Data Analyst | Data Scientist | Développeur Mobile | Administrateur des bases de données,Coordinnateur pédagogique : Pr.Mohamed BEN AHMED             :  mbenahmed@uae.ac.ma
